OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation Normal Max Protect,5.79,1306,4.12,2.58,6.44,1.59,0.322
Singleback Slot Strong HB Checkdown,5.72,231,2.69,3.83,9.36,2.98,0.481
Singleback Big Ins and Outs,5.63,624,4.46,3.63,0.63,1.58,0.076
I Formation Big TE Sneak Out,5.62,155,4.69,3.21,0.64,1.28,0.123
Singleback Empty 4 TE Corner,5.55,114,1.61,4.35,12.17,2.61,-0.463
Shotgun 5 Wide Slot Drag,5.53,112,4.34,3.54,0.88,1.77,-0.071
I Formation 3WR PA Fullback Flat,5.46,713,4.96,2.51,0.42,2.37,-0.175
Singleback Normal HB Inside Weak,5.46,1204,,,,0.49,0.686
Singleback 4 Wide Quick Outs,5.33,329,4.05,2.71,3.61,1.51,0.458
Singleback Slot Strong HB Counter,5.33,1246,,,,0.63,0.157
Shotgun Normal TE Out,5.3,606,4.69,2.3,1.48,1.64,0.375
Split Backs 3 Wide WR Quick Out,5.25,1003,4.73,1.97,1.97,1.57,0.264
Weak I Big HB Lead Toss Weak,5.25,216,,,,0.91,1.224
Strong I Normal Short Attack,5.21,258,,,0.38,1.15,-0.34
Singleback Slot Strong HB Strong Inside,5.18,780,,,,0.75,0.468
Weak I Normal HB Inside Weak,5.18,1830,,,,1.08,0.366
Singleback Big Corner Ins,5.15,246,2.81,2.01,10.84,1.2,0.454
I Formation Normal PA Fullback Flat,5.15,1461,4.36,2.5,1.62,2.36,-0.494
Singleback Normal HB Dive Weak,5.09,1168,,,,0.5,0.864
Shotgun Normal FL Slant,5.07,319,4.1,1.86,4.33,1.55,0.664
Shotgun 5 Wide Parallel Slants,5.07,390,4.62,2.26,0.5,1.51,0.07
Split Backs 3 Wide Dive Left,5.03,906,,,,,0.219
Singleback Big WR Deep,5.01,849,1.11,3.62,13.65,2.92,0.104
I Formation Twin WR Hook Ins,4.97,78,4.7,1.27,2.53,,-0.029
Split Backs 3 Wide Slot Post,4.9,628,2.39,2.52,9.92,1.42,-0.162
Weak I Normal Skinny Posts,4.87,1189,4.35,2.07,1.24,1.49,-0.156
Strong I Big TE Drag,4.84,37,,,5.41,2.7,1.128
