OffensivePlay,OffPlayType,OffPersonnel,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Goal Line Normal HB Pitch Weak,Outside Run,2RB/3TE,3.21,11456,3.86,0.0,0.0,0.31,-0.756
Shotgun Normal HB Dive,Inside Run,1RB/1TE/3WR,3.21,5112,3.86,0.0,0.0,,-0.123
I Formation Normal HB Counter,Inside Run,2RB/1TE/2WR,3.17,4860,3.8,0.0,0.0,,-0.571
Singleback Normal Hitch Corner,Short Pass,1RB/1TE/3WR,3.14,492,2.68,1.62,0.61,0.2,-0.166
Split Backs Normal Curls,Short Pass,2RB/1TE/2WR,3.13,389,-0.09,4.56,5.57,0.51,-0.515
Goal Line Normal PA TE Drag,Short Pass,2RB/3TE,3.13,8754,2.09,2.59,0.56,0.51,-1.047
I Formation 3WR SE Post,Medium Pass,2RB/3WR,3.12,6633,1.22,3.31,2.71,0.76,-1.125
Singleback Big PA Curls,Short Pass,1RB/2TE/2WR,3.11,1351,0.51,2.64,8.21,0.29,-0.92
Shotgun 2 RB 3 WR FL Drag,Short Pass,2RB/3WR,3.1,4961,2.3,2.22,0.42,1.14,-1.314
I Formation Normal SE Post,Long Pass,2RB/1TE/2WR,3.1,5896,-3.22,2.93,25.91,0.93,-1.236
Strong I Normal Counter Strong,Inside Run,2RB/1TE/2WR,3.09,3955,3.7,0.0,0.0,,-0.629
I Formation Normal FB Middle,Short Pass,2RB/1TE/2WR,3.08,1459,1.14,1.9,7.12,0.41,-0.721
Singleback 4 Wide Post and Curls,Medium Pass,1RB/4WR,3.07,354,0.53,3.94,3.94,,-0.448
Weak I Normal Fullback Counter Weak,Outside Run,2RB/1TE/2WR,3.07,4789,3.68,0.0,0.0,0.2,-0.066
Shotgun Normal Post Flags,Medium Pass,1RB/1TE/3WR,3.05,1118,1.59,3.09,1.06,0.71,-0.341
Singleback Empty 4 Curl Flats,Short Pass,1TE/4WR,3.05,634,1.06,2.82,4.55,0.47,-0.962
I Formation 3WR Weak Flood,Short Pass,2RB/3WR,3.05,1383,3.3,0.43,0.5,0.14,-0.934
Singleback 4 Wide WR Crosses,Short Pass,1RB/4WR,3.04,462,2.4,1.08,3.02,0.43,-0.791
Singleback 4 Wide Clear Center,Medium Pass,1RB/4WR,3.03,490,-1.51,3.85,14.17,0.4,-1.229
I Formation Big HB Lead Toss Weak,Outside Run,2RB/2TE/1WR,3.02,172,3.63,0.0,0.0,,-1.643
Shotgun Normal Double Outs,Short Pass,1RB/1TE/3WR,3.02,5936,2.04,2.52,0.35,0.52,-0.858
Goal Line Normal HB Weak,Outside Run,2RB/3TE,2.96,8847,3.56,0.0,0.0,0.54,-1.087
Split Backs 3 Wide Slot Drag,Short Pass,2RB/3WR,2.95,928,2.51,1.49,0.64,0.21,-0.503
Split Backs Normal HB Off Tackle,Inside Run,2RB/1TE/2WR,2.94,554,3.52,0.0,0.0,0.35,0.188
I Formation Twin WR HB Toss Weak,Outside Run,2RB/1TE/2WR,2.92,912,3.5,0.0,0.0,,-0.416
Shotgun 5 Wide FL Hook,Medium Pass,5WR,2.91,640,0.32,4.35,2.8,0.47,-0.649
Goal Line Normal HB Dive,Inside Run,2RB/3TE,2.88,9482,3.46,0.0,0.0,0.72,-0.703
Split Backs 3 Wide RB Curls,Short Pass,2RB/3WR,2.86,624,-2.5,2.55,21.97,1.11,-0.137
Shotgun 5 Wide Middle Curls,Short Pass,5WR,2.83,783,0.57,4.66,0.13,0.76,-0.776
Singleback 4 Wide Post and Drag,Medium Pass,1RB/4WR,2.77,869,-1.35,3.33,13.42,0.92,-0.412
Shotgun 4 Wide All Curls,Short Pass,1RB/4WR,2.74,284,0.91,3.5,1.4,,-0.843
I Formation Normal TE Flag,Medium Pass,2RB/1TE/2WR,2.68,1425,-2.71,2.22,22.95,1.18,-0.888
Split Backs Normal Overload Strong,Medium Pass,2RB/1TE/2WR,2.66,609,0.64,2.29,5.89,0.65,-0.791
Shotgun 2 RB 3 WR WR Hooks,Medium Pass,2RB/3WR,2.66,4917,0.15,4.38,2.11,0.51,-1.288
Singleback Normal Quick Looks,Short Pass,1RB/1TE/3WR,2.66,277,1.55,2.51,0.72,,-2.174
Strong I Normal FB Dive Strong,Inside Run,2RB/1TE/2WR,2.65,51,3.18,0.0,0.0,,-1.236
Shotgun 5 Wide WR Curls,Medium Pass,5WR,2.65,422,-1.09,5.4,5.16,0.94,-0.661
Shotgun 4 Wide Slot Curl,Medium Pass,1RB/4WR,2.64,336,-2.12,5.93,8.61,0.89,-1.614
Singleback Slot Strong HB Flat,Short Pass,1RB/1TE/3WR,2.64,827,1.92,1.56,1.56,0.84,-0.004
Shotgun 4 Wide In and Out,Medium Pass,1RB/4WR,2.63,561,-1.48,4.06,10.95,0.18,-0.46
Split Backs 3 Wide WR2 Deep Post,Long Pass,2RB/3WR,2.57,637,-2.88,3.59,19.06,1.09,-1.069
I Formation Twin WR HB Toss Strong,Outside Run,2RB/1TE/2WR,2.54,726,3.05,0.0,0.0,0.27,-0.677
Singleback Big HB Curls TE Deep,Medium Pass,1RB/2TE/2WR,2.47,1711,-0.64,3.07,8.82,0.41,-0.556
I Formation Twin WR HB Counter Middle,Inside Run,2RB/1TE/2WR,2.47,356,2.96,0.0,0.0,,-0.359
Singleback Big TE Flat Curl,Short Pass,1RB/2TE/2WR,2.41,1654,-0.94,2.74,10.97,0.3,-1.147
Split Backs 3 Wide Off Tackle Weak,Outside Run,2RB/3WR,2.37,1678,2.85,0.0,0.0,0.12,-0.428
Strong I Big HB Sweep Strong,Outside Run,2RB/2TE/1WR,2.35,361,2.82,0.0,0.0,,0.278
Weak I Big TE Drag,Short Pass,2RB/2TE/1WR,2.34,653,0.96,2.27,2.42,0.76,-0.446
Split Backs Normal WR Deep Corner,Long Pass,2RB/1TE/2WR,2.33,169,-2.43,4.07,13.95,0.58,-1.191
Singleback Slot Strong Slot Curl,Short Pass,1RB/1TE/3WR,2.32,300,1.15,2.62,0.33,,-1.557
I Formation Big FB Dive,Inside Run,2RB/2TE/1WR,2.27,22,2.73,0.0,0.0,,-1.264
Strong I Big HB Toss Strong,Outside Run,2RB/2TE/1WR,2.27,771,2.72,0.0,0.0,0.25,-0.363
Strong I Normal HB Sweep Strong,Outside Run,2RB/1TE/2WR,2.27,959,2.72,0.0,0.0,0.21,-1.036
I Formation 3WR Outside Curls,Medium Pass,2RB/3WR,2.13,398,-0.58,2.0,9.73,0.25,-0.861
I Formation Twin WR Slot Out,Long Pass,2RB/1TE/2WR,2.07,566,-4.61,2.27,28.62,1.05,-0.871
I Formation Normal HB Toss Strong,Outside Run,2RB/1TE/2WR,1.9,1454,2.28,0.0,0.0,0.13,-1.216
I Formation 3WR Slot Corner Long,Medium Pass,2RB/3WR,1.84,6734,-4.54,3.96,21.88,0.49,-1.441
Strong I Normal HB Power Strong,Outside Run,2RB/1TE/2WR,1.78,1263,2.14,0.0,0.0,,-0.695
Singleback Empty 4 Slot Crosses,Medium Pass,1TE/4WR,1.78,1185,-7.51,4.18,35.65,2.18,-0.924
I Formation Normal HB Toss Weak,Outside Run,2RB/1TE/2WR,1.62,1348,1.94,0.0,0.0,,-1.009
I Formation Power Play Action Bomb,Long Pass,3RB/1TE/1WR,1.6,2635,-7.76,2.97,39.52,1.16,-1.652
I Formation Normal PA Streaks,Long Pass,2RB/1TE/2WR,1.52,4348,-7.9,2.63,40.72,0.82,-1.503
Singleback Big HB Pitch Weak,Outside Run,1RB/2TE/2WR,1.44,1335,1.72,0.0,0.0,0.22,-1.162
Singleback Empty 4 TE Drag WR Mix,Medium Pass,1TE/4WR,1.43,734,-3.1,3.92,12.31,0.27,-1.455
